# ModScan andmelogi
# Alustatud: 12.5.2026, 09:44:20
# Register: Window  33 [39] (offset 39)
# Seade: COM4
# Col 1: Time (ISO), Col 2: Value (dec), Col 3: Hex
Timestamp	Value	Hex
2026-05-12 09:44:20.690	333	0x014D
2026-05-12 09:44:20.785	333	0x014D
2026-05-12 09:44:20.915	333	0x014D
2026-05-12 09:44:21.044	333	0x014D
2026-05-12 09:44:21.162	333	0x014D
2026-05-12 09:44:21.276	333	0x014D
2026-05-12 09:44:21.363	333	0x014D
2026-05-12 09:44:21.474	333	0x014D
2026-05-12 09:44:21.590	333	0x014D
2026-05-12 09:44:21.697	333	0x014D
2026-05-12 09:44:21.792	333	0x014D
2026-05-12 09:44:21.921	333	0x014D
2026-05-12 09:44:22.023	333	0x014D
2026-05-12 09:44:22.128	333	0x014D
2026-05-12 09:44:22.243	333	0x014D
2026-05-12 09:44:22.372	333	0x014D
2026-05-12 09:44:22.448	333	0x014D
2026-05-12 09:44:22.579	333	0x014D
2026-05-12 09:44:22.696	333	0x014D
2026-05-12 09:44:22.803	333	0x014D
2026-05-12 09:44:22.924	333	0x014D
2026-05-12 09:44:23.026	333	0x014D
2026-05-12 09:44:23.137	333	0x014D
2026-05-12 09:44:23.262	333	0x014D
2026-05-12 09:44:23.360	333	0x014D
2026-05-12 09:44:23.465	333	0x014D
2026-05-12 09:44:23.583	333	0x014D
2026-05-12 09:44:23.676	333	0x014D
2026-05-12 09:44:23.763	333	0x014D
2026-05-12 09:44:23.891	333	0x014D
2026-05-12 09:44:24.001	333	0x014D
2026-05-12 09:44:24.120	333	0x014D
