# ModScan andmelogi
# Alustatud: 12.5.2026, 17:03:12
# Register: Reg 0 (offset 0)
# Seade: COM4
# Col 1: Time (ISO), Col 2: Value (dec), Col 3: Hex
Timestamp	Value	Hex
2026-05-12 17:03:13.094	400	0x0190
2026-05-12 17:03:14.099	400	0x0190
2026-05-12 17:03:15.127	400	0x0190
2026-05-12 17:03:16.148	400	0x0190
2026-05-12 17:03:17.154	400	0x0190
2026-05-12 17:03:18.179	400	0x0190
2026-05-12 17:03:19.186	400	0x0190
2026-05-12 17:03:20.172	400	0x0190
2026-05-12 17:03:21.196	400	0x0190
2026-05-12 17:03:22.187	400	0x0190
2026-05-12 17:04:15.827	400	0x0190
2026-05-12 17:04:16.810	400	0x0190
2026-05-12 17:04:17.820	400	0x0190
2026-05-12 17:04:18.815	400	0x0190
2026-05-12 17:04:19.823	400	0x0190
2026-05-12 17:04:20.841	400	0x0190
2026-05-12 17:04:21.859	400	0x0190
2026-05-12 17:04:22.855	400	0x0190
2026-05-12 17:04:23.884	400	0x0190
2026-05-12 17:04:24.887	400	0x0190
2026-05-12 17:04:25.880	400	0x0190
2026-05-12 17:04:26.901	400	0x0190
2026-05-12 17:04:27.892	400	0x0190
2026-05-12 17:04:28.900	400	0x0190
2026-05-12 17:04:29.909	400	0x0190
2026-05-12 17:04:30.939	400	0x0190
2026-05-12 17:04:31.924	400	0x0190
2026-05-12 17:04:32.930	400	0x0190
2026-05-12 17:04:33.937	400	0x0190
2026-05-12 17:04:35.058	400	0x0190
2026-05-12 17:04:35.590	400	0x0190
2026-05-12 17:04:36.095	400	0x0190
2026-05-12 17:04:36.606	400	0x0190
2026-05-12 17:04:37.124	400	0x0190
2026-05-12 17:04:37.614	400	0x0190
2026-05-12 17:04:38.149	400	0x0190
2026-05-12 17:04:38.654	400	0x0190
2026-05-12 17:04:39.174	400	0x0190
2026-05-12 17:04:39.687	400	0x0190
2026-05-12 17:04:40.172	400	0x0190
2026-05-12 17:04:40.699	400	0x0190
2026-05-12 17:04:41.195	400	0x0190
2026-05-12 17:04:41.711	400	0x0190
2026-05-12 17:04:42.224	400	0x0190
2026-05-12 17:04:42.732	400	0x0190
2026-05-12 17:04:43.255	400	0x0190
2026-05-12 17:04:43.757	400	0x0190
2026-05-12 17:04:44.271	400	0x0190
2026-05-12 17:04:44.786	400	0x0190
2026-05-12 17:04:45.739	400	0x0190
2026-05-12 17:04:45.873	400	0x0190
2026-05-12 17:04:45.987	400	0x0190
2026-05-12 17:04:46.096	400	0x0190
2026-05-12 17:04:46.202	400	0x0190
2026-05-12 17:04:46.298	400	0x0190
2026-05-12 17:04:46.418	400	0x0190
2026-05-12 17:04:46.523	400	0x0190
2026-05-12 17:04:46.637	400	0x0190
2026-05-12 17:04:46.773	400	0x0190
2026-05-12 17:04:46.866	400	0x0190
2026-05-12 17:04:46.984	400	0x0190
2026-05-12 17:04:47.080	400	0x0190
2026-05-12 17:04:47.197	400	0x0190
